Lieu	N° région, département	Série	Unité	2004	2008
BRETAGNE	53	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
BRETAGNE	53	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
BRETAGNE	53	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
BRETAGNE	53	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	43.0	50.0
CENTRE	24	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CENTRE	24	RA08Etablissements de recherche (hors CEA)	nombre	12.0	19.0
CENTRE	24	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
CENTRE	24	RA08Centres nucléaires de production d'électricité	nombre	7.0	7.0
CENTRE	24	RA08Activités médicales	nombre	10.0	10.0
CENTRE	24	RA08Etablissements de la défense nationale	nombre	10.0	9.0
CENTRE	24	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CENTRE	24	RA08Amont du cycle du combustible	nombre	0.0	0.0
CENTRE	24	RA08Aval du cycle du combustible	nombre	0.0	0.0
CENTRE	24	RA08Etablissements de traitements des déchets ou de maintenance	nombre	1.0	1.0
CENTRE	24	RA08Sites d'entreposage et stockage	nombre	1.0	2.0
CENTRE	24	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CENTRE	24	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	42.0	49.0
CHAMPAGNE-ARDENNE	21	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CHAMPAGNE-ARDENNE	21	RA08Etablissements de recherche (hors CEA)	nombre	0.0	4.0
CHAMPAGNE-ARDENNE	21	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	1.0
CHAMPAGNE-ARDENNE	21	RA08Centres nucléaires de production d'électricité	nombre	3.0	3.0
CHAMPAGNE-ARDENNE	21	RA08Activités médicales	nombre	4.0	6.0
CHAMPAGNE-ARDENNE	21	RA08Etablissements de la défense nationale	nombre	3.0	2.0
CHAMPAGNE-ARDENNE	21	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
CHAMPAGNE-ARDENNE	21	RA08Amont du cycle du combustible	nombre	0.0	0.0
CHAMPAGNE-ARDENNE	21	RA08Aval du cycle du combustible	nombre	0.0	0.0
CHAMPAGNE-ARDENNE	21	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CHAMPAGNE-ARDENNE	21	RA08Sites d'entreposage et stockage	nombre	2.0	2.0
CHAMPAGNE-ARDENNE	21	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	2.0
CHAMPAGNE-ARDENNE	21	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	13.0	19.0
CORSE	94	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CORSE	94	RA08Etablissements de recherche (hors CEA)	nombre	1.0	1.0
CORSE	94	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CORSE	94	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CORSE	94	RA08Activités médicales	nombre	1.0	1.0
CORSE	94	RA08Etablissements de la défense nationale	nombre	2.0	1.0
CORSE	94	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CORSE	94	RA08Amont du cycle du combustible	nombre	0.0	0.0
CORSE	94	RA08Aval du cycle du combustible	nombre	0.0	0.0
CORSE	94	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CORSE	94	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CORSE	94	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CORSE	94	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	4.0	3.0
FRANCHE COMTE	43	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Etablissements de recherche (hors CEA)	nombre	4.0	4.0
FRANCHE COMTE	43	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Activités médicales	nombre	3.0	3.0
FRANCHE COMTE	43	RA08Etablissements de la défense nationale	nombre	2.0	4.0
FRANCHE COMTE	43	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Amont du cycle du combustible	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Aval du cycle du combustible	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
FRANCHE COMTE	43	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
FRANCHE COMTE	43	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	9.0	11.0
