Lieu	N° région, département	Série	Unité	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
HAUTE NORMANDIE	23	EA04Volume des pluies efficaces	 Millions m3	3671.077	4639.751	2826.121	2410.798	2610.095	1622.187	2920.898	2724.179	3724.32	1290.552	1406.371	1204.726	2286.999	3206.227	3709.532	3467.142	263.957	1219.279	3393.283	4433.759	5777.449	5247.515	3852.834	300.272	1643.367	930.863	ND	2078.456	2968.995	2649.961	2858.37	2962.487	4218.001
HAUTE NORMANDIE	23	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467	12377.467
HAUTE NORMANDIE	23	EA04Hauteur des précipitations totales	mm	905.0	991.0	890.0	774.0	870.0	709.0	882.0	861.0	930.0	617.0	709.0	692.0	856.0	891.0	979.0	809.0	597.0	764.0	900.0	1027.0	1095.0	1035.0	956.0	686.0	774.0	718.0	850.0	919.0	855.0	739.0	729.0	781.0	928.0
HAUTE NORMANDIE	23	EA04Hauteur des précipitations efficaces	mm	297.0	375.0	228.0	195.0	211.0	131.0	236.0	220.0	301.0	104.0	114.0	97.0	185.0	259.0	300.0	280.0	21.0	99.0	274.0	358.0	467.0	424.0	311.0	24.0	133.0	75.0	ND	ND	240.0	214.0	231.0	239.0	341.0
ILE DE FRANCE	11	EA04Volume des précipitations totales	 Millions m3	8623.622	10478.67	9274.757	8230.986	9760.954	6451.844	8613.018	9360.974	9778.123	6965.81	6620.814	6687.831	7298.569	8624.723	8976.506	8495.435	6338.055	8198.226	8377.252	10038.857	10896.593	11313.878	8768.406	6544.691	7351.167	6397.47	8300.773	8594.75	7833.227	7555.84	7808.504	7308.866	8810.224
ILE DE FRANCE	11	EA04Superficie du territoire considéré pour les précipitations	 km²	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876
ILE DE FRANCE	11	EA04Volume des pluies efficaces	 Millions m3	2264.897	3649.811	2313.133	2264.48	2224.228	1091.46	1858.921	2251.186	2945.405	1265.214	737.807	811.757	603.303	2090.541	1865.057	2656.575	575.801	1184.767	2394.598	2749.883	3208.794	3944.593	2276.311	323.928	943.597	535.655	ND	770.903	1176.89	1357.392	1649.82	1430.712	2141.563
ILE DE FRANCE	11	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876	12079.876
ILE DE FRANCE	11	EA04Hauteur des précipitations totales	mm	714.0	867.0	768.0	681.0	808.0	534.0	713.0	775.0	809.0	577.0	548.0	554.0	604.0	714.0	743.0	703.0	525.0	679.0	693.0	831.0	902.0	937.0	726.0	542.0	609.0	530.0	687.0	711.0	648.0	625.0	646.0	605.0	729.0
ILE DE FRANCE	11	EA04Hauteur des précipitations efficaces	mm	187.0	302.0	191.0	187.0	184.0	90.0	154.0	186.0	244.0	105.0	61.0	67.0	50.0	173.0	154.0	220.0	48.0	98.0	198.0	228.0	266.0	327.0	188.0	27.0	78.0	44.0	ND	ND	97.0	112.0	137.0	118.0	177.0
LANGUEDOC-ROUSSILLON	91	EA04Volume des précipitations totales	 Millions m3	22099.094	24667.628	26806.146	19315.804	26688.317	17129.679	26038.858	27770.883	25142.751	18047.798	21102.822	21086.75	29552.946	28348.141	29215.945	25629.653	40396.098	25415.34	20270.188	27748.767	25627.262	22306.814	29182.869	29529.372	26258.706	22492.531	25535.097	21872.625	29146.941	21234.386	26272.914	25380.989	20300.477
LANGUEDOC-ROUSSILLON	91	EA04Superficie du territoire considéré pour les précipitations	 km²	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489
LANGUEDOC-ROUSSILLON	91	EA04Volume des pluies efficaces	 Millions m3	7812.677	9893.686	11905.976	6376.931	12036.008	4959.989	13360.88	13573.071	10889.335	5010.308	6063.412	7142.721	11799.099	12873.749	14983.692	11857.236	23559.669	9896.307	6265.671	10921.077	9196.879	7571.436	10802.677	12876.391	10428.308	7651.581	ND	9608.817	12073.425	5666.379	10351.142	9388.328	3914.823
LANGUEDOC-ROUSSILLON	91	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489	27848.489
LANGUEDOC-ROUSSILLON	91	EA04Hauteur des précipitations totales	mm	794.0	886.0	963.0	694.0	958.0	615.0	935.0	997.0	903.0	648.0	758.0	757.0	1061.0	1018.0	1049.0	920.0	1451.0	913.0	728.0	996.0	920.0	801.0	1048.0	1060.0	943.0	808.0	917.0	785.0	1047.0	762.0	943.0	911.0	729.0
LANGUEDOC-ROUSSILLON	91	EA04Hauteur des précipitations efficaces	mm	281.0	355.0	428.0	229.0	432.0	178.0	480.0	487.0	391.0	180.0	218.0	256.0	424.0	462.0	538.0	426.0	846.0	355.0	225.0	392.0	330.0	272.0	388.0	462.0	374.0	275.0	ND	ND	434.0	203.0	372.0	337.0	141.0
LIMOUSIN	74	EA04Volume des précipitations totales	 Millions m3	18438.794	22524.465	18447.129	18537.41	19656.854	14292.388	19842.314	17303.152	19914.798	12908.844	17696.213	14499.142	20131.275	20590.722	24017.77	19728.262	17656.876	18288.571	18663.911	20857.959	21373.612	21160.86	18297.803	16881.652	18527.188	14548.756	20824.242	21168.206	21472.906	17675.998	17942.906	14760.353	17766.214
LIMOUSIN	74	EA04Superficie du territoire considéré pour les précipitations	 km²	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413
LIMOUSIN	74	EA04Volume des pluies efficaces	 Millions m3	8816.335	12238.848	8583.997	8422.029	9493.159	6488.299	10758.242	7008.815	9398.75	3544.835	6774.183	4681.267	8916.933	9552.789	12935.852	10064.282	7591.964	6464.98	9357.653	9890.235	10067.856	10203.886	7054.157	4136.49	7835.042	3445.384	ND	5774.237	9123.866	5435.09	6526.987	3668.845	5985.873
LIMOUSIN	74	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413	17057.413
LIMOUSIN	74	EA04Hauteur des précipitations totales	mm	1081.0	1321.0	1081.0	1087.0	1152.0	838.0	1163.0	1014.0	1168.0	757.0	1037.0	850.0	1180.0	1207.0	1408.0	1157.0	1035.0	1072.0	1094.0	1223.0	1253.0	1241.0	1073.0	990.0	1086.0	853.0	1221.0	1241.0	1259.0	1036.0	1052.0	865.0	1042.0
LIMOUSIN	74	EA04Hauteur des précipitations efficaces	mm	517.0	718.0	503.0	494.0	557.0	380.0	631.0	411.0	551.0	208.0	397.0	274.0	523.0	560.0	758.0	590.0	445.0	379.0	549.0	580.0	590.0	598.0	414.0	243.0	459.0	202.0	ND	ND	535.0	319.0	383.0	215.0	351.0
LORRAINE	41	EA04Volume des précipitations totales	 Millions m3	23836.552	28386.568	25743.893	24690.515	23954.113	18420.918	26750.416	23956.016	25954.599	19879.874	22818.246	17539.422	21946.032	23081.497	24147.668	25370.998	18342.088	22106.405	22519.423	27223.503	26324.361	28225.032	24240.122	15460.746	20622.309	18310.382	22288.001	23068.718	23334.612	21031.355	21839.951	19395.601	22798.608
LORRAINE	41	EA04Superficie du territoire considéré pour les précipitations	 km²	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38
LORRAINE	41	EA04Volume des pluies efficaces	 Millions m3	10512.08	14593.106	11861.754	12906.689	11630.05	5894.7	13249.068	10111.347	12316.794	7030.067	8330.672	6432.302	8356.857	10893.936	9931.929	11710.611	6726.452	7317.542	10132.124	12550.037	10691.389	14208.557	10720.59	1797.482	6666.198	3645.216	ND	3772.884	8117.083	6790.915	7712.481	5740.837	8299.721
LORRAINE	41	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38	23694.38
LORRAINE	41	EA04Hauteur des précipitations totales	mm	1006.0	1198.0	1086.0	1042.0	1011.0	777.0	1129.0	1011.0	1095.0	839.0	963.0	740.0	926.0	974.0	1019.0	1071.0	774.0	933.0	950.0	1149.0	1111.0	1191.0	1023.0	653.0	870.0	773.0	941.0	974.0	985.0	888.0	922.0	819.0	962.0
LORRAINE	41	EA04Hauteur des précipitations efficaces	mm	444.0	616.0	501.0	545.0	491.0	249.0	559.0	427.0	520.0	297.0	352.0	271.0	353.0	460.0	419.0	494.0	284.0	309.0	428.0	530.0	451.0	600.0	452.0	76.0	281.0	154.0	ND	ND	343.0	287.0	325.0	242.0	350.0
MIDI-PYRENEES	73	EA04Volume des précipitations totales	 Millions m3	46406.517	49687.771	47308.307	36015.528	47403.981	35224.606	40879.318	36982.96	44789.29	32638.943	40409.001	37190.922	53906.941	45672.6	48263.156	43756.913	51018.585	40071.79	40353.782	47799.117	44838.087	39099.919	43904.67	39938.002	44776.619	36200.199	42473.002	42884.651	47386.842	41161.482	39254.233	34067.543	38069.907
MIDI-PYRENEES	73	EA04Superficie du territoire considéré pour les précipitations	 km²	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936
MIDI-PYRENEES	73	EA04Volume des pluies efficaces	 Millions m3	19175.844	20957.761	20096.799	9835.681	17797.465	12649.543	18157.632	11193.646	18818.347	7970.164	10239.185	10082.759	22667.811	14408.939	20290.674	16347.102	20790.667	9542.972	13133.165	17947.681	13657.282	12956.978	11713.422	9446.975	16473.894	6580.212	ND	9903.004	17112.661	14385.295	11661.946	6966.401	9636.095
MIDI-PYRENEES	73	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936	45722.936
MIDI-PYRENEES	73	EA04Hauteur des précipitations totales	mm	1015.0	1087.0	1035.0	788.0	1037.0	770.0	894.0	809.0	980.0	714.0	884.0	813.0	1179.0	999.0	1056.0	957.0	1116.0	876.0	883.0	1045.0	981.0	855.0	960.0	873.0	979.0	792.0	929.0	938.0	1036.0	900.0	859.0	745.0	833.0
MIDI-PYRENEES	73	EA04Hauteur des précipitations efficaces	mm	419.0	458.0	440.0	215.0	389.0	277.0	397.0	245.0	412.0	174.0	224.0	221.0	496.0	315.0	444.0	358.0	455.0	209.0	287.0	393.0	299.0	283.0	256.0	207.0	360.0	144.0	ND	ND	374.0	315.0	255.0	152.0	211.0
NORD-PAS-DE-CALAIS	31	EA04Volume des précipitations totales	 Millions m3	10475.991	11515.943	9978.165	9077.292	10617.445	8515.833	10354.469	10726.344	11090.027	8382.487	8961.532	8930.212	11374.694	10960.348	11384.218	9447.42	8132.654	9022.733	11118.858	12276.796	13146.203	13337.288	11807.14	7745.306	9028.696	9357.793	11300.195	11471.974	10859.25	10172.996	9023.143	8676.045	12108.225
NORD-PAS-DE-CALAIS	31	EA04Superficie du territoire considéré pour les précipitations	 km²	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957
NORD-PAS-DE-CALAIS	31	EA04Volume des pluies efficaces	 Millions m3	3623.015	4670.732	2708.325	3043.093	3394.989	2211.204	3457.347	3671.533	4318.412	2257.924	2263.147	2051.975	3594.973	3924.578	3963.171	3376.996	1220.559	1785.418	4089.303	4448.033	5684.816	6039.075	4143.902	378.342	1516.047	1121.214	ND	2405.205	2923.899	3658.199	2787.685	2578.427	4845.199
NORD-PAS-DE-CALAIS	31	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957	12494.957
NORD-PAS-DE-CALAIS	31	EA04Hauteur des précipitations totales	mm	838.0	922.0	799.0	726.0	850.0	682.0	829.0	858.0	888.0	671.0	717.0	715.0	910.0	877.0	911.0	756.0	651.0	722.0	890.0	983.0	1052.0	1067.0	945.0	620.0	723.0	749.0	904.0	918.0	869.0	814.0	722.0	694.0	969.0
NORD-PAS-DE-CALAIS	31	EA04Hauteur des précipitations efficaces	mm	290.0	374.0	217.0	244.0	272.0	177.0	277.0	294.0	346.0	181.0	181.0	164.0	288.0	314.0	317.0	270.0	98.0	143.0	327.0	356.0	455.0	483.0	332.0	30.0	121.0	90.0	ND	ND	234.0	293.0	223.0	206.0	388.0
PAYS DE LA LOIRE	52	EA04Volume des précipitations totales	 Millions m3	24780.723	28519.138	28181.325	25197.362	28676.187	20612.256	25229.313	23404.868	26553.466	20561.328	20371.916	21481.304	22598.68	24470.265	33378.791	26639.289	20356.224	21737.45	27030.951	32706.25	31830.053	28886.22	28437.61	21801.257	21670.107	17476.444	27075.209	26040.562	26666.325	24916.123	21563.409	20383.854	29252.431
PAYS DE LA LOIRE	52	EA04Superficie du territoire considéré pour les précipitations	 km²	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413
PAYS DE LA LOIRE	52	EA04Volume des pluies efficaces	 Millions m3	7356.559	9947.621	9367.097	5805.682	8616.225	4563.263	8121.247	5913.427	9672.063	3369.82	5639.654	5284.739	3679.863	6688.272	12476.584	10159.56	5349.677	4778.05	9672.596	12153.304	11403.15	10493.474	8175.97	2926.754	4512.415	976.964	ND	4018.442	6408.425	8488.553	6590.277	4385.073	10203.582
PAYS DE LA LOIRE	52	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413	32375.413
PAYS DE LA LOIRE	52	EA04Hauteur des précipitations totales	mm	765.0	881.0	870.0	778.0	886.0	637.0	779.0	723.0	820.0	635.0	629.0	664.0	698.0	756.0	1031.0	823.0	629.0	671.0	835.0	1010.0	983.0	892.0	878.0	673.0	669.0	540.0	836.0	804.0	824.0	770.0	666.0	630.0	904.0
PAYS DE LA LOIRE	52	EA04Hauteur des précipitations efficaces	mm	227.0	307.0	289.0	179.0	266.0	141.0	251.0	183.0	299.0	104.0	174.0	163.0	114.0	207.0	385.0	314.0	165.0	148.0	299.0	375.0	352.0	324.0	253.0	90.0	139.0	30.0	ND	ND	198.0	262.0	204.0	135.0	315.0
PICARDIE	22	EA04Volume des précipitations totales	 Millions m3	15343.462	17416.6	15653.155	13721.042	16046.714	12317.365	15268.681	15753.427	17411.045	12436.583	12805.973	11534.176	15747.277	16003.206	15196.255	15148.531	11613.871	13673.095	15084.398	17678.96	19408.362	19773.622	16748.272	11308.647	13092.874	11332.898	15916.036	15958.389	15242.856	13685.893	13022.29	12989.982	16047.769
PICARDIE	22	EA04Superficie du territoire considéré pour les précipitations	 km²	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446
PICARDIE	22	EA04Volume des pluies efficaces	 Millions m3	4533.003	6523.607	4015.24	3969.979	4440.755	2377.324	4050.248	4539.796	6051.925	3060.052	2372.749	1807.698	3203.352	5068.409	3892.709	4969.563	1071.737	1826.365	4579.363	5443.637	7182.598	7954.456	5251.632	209.679	1293.261	882.525	ND	1817.103	3189.784	3270.602	2859.579	3326.836	4593.906
PICARDIE	22	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446	19550.446
PICARDIE	22	EA04Hauteur des précipitations totales	mm	785.0	891.0	801.0	702.0	821.0	630.0	781.0	806.0	891.0	636.0	655.0	590.0	805.0	819.0	777.0	775.0	594.0	699.0	772.0	904.0	993.0	1011.0	857.0	578.0	670.0	580.0	814.0	816.0	780.0	700.0	666.0	664.0	821.0
PICARDIE	22	EA04Hauteur des précipitations efficaces	mm	232.0	334.0	205.0	203.0	227.0	122.0	207.0	232.0	310.0	157.0	121.0	92.0	164.0	259.0	199.0	254.0	55.0	93.0	234.0	278.0	367.0	407.0	269.0	11.0	66.0	45.0	ND	ND	163.0	167.0	146.0	170.0	235.0
POITOU-CHARENTES	54	EA04Volume des précipitations totales	 Millions m3	19824.166	24519.82	24461.38	22144.05	24102.269	19021.723	21771.473	20574.211	23277.791	16387.884	18207.911	17654.891	21344.254	22104.175	27340.235	21735.801	19428.042	20866.982	21389.97	25918.695	26399.341	22181.44	21293.612	18773.338	17796.64	14129.273	23158.538	21857.221	22606.045	19385.878	18030.771	16814.515	21879.32
POITOU-CHARENTES	54	EA04Superficie du territoire considéré pour les précipitations	 km²	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818
POITOU-CHARENTES	54	EA04Volume des pluies efficaces	 Millions m3	5906.34	8101.11	9645.272	6159.103	8157.352	5763.173	9156.488	5001.836	9334.288	2022.715	4520.134	3735.613	4698.497	6454.92	10332.787	7804.979	5072.136	4973.029	7321.691	8732.241	9917.049	7769.951	4257.056	2506.083	3552.001	653.019	ND	4523.617	5376.415	5962.337	4994.463	3730.356	6841.94
POITOU-CHARENTES	54	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818	25965.818
POITOU-CHARENTES	54	EA04Hauteur des précipitations totales	mm	763.0	944.0	942.0	853.0	928.0	733.0	838.0	792.0	896.0	631.0	701.0	680.0	822.0	851.0	1053.0	837.0	748.0	804.0	824.0	998.0	1017.0	854.0	820.0	723.0	685.0	544.0	892.0	842.0	871.0	747.0	694.0	648.0	843.0
POITOU-CHARENTES	54	EA04Hauteur des précipitations efficaces	mm	227.0	312.0	371.0	237.0	314.0	222.0	353.0	193.0	359.0	78.0	174.0	144.0	181.0	249.0	398.0	301.0	195.0	192.0	282.0	336.0	382.0	299.0	164.0	97.0	137.0	25.0	ND	ND	207.0	230.0	192.0	144.0	263.0
PROVENCE-ALPES-COTE D AZUR	93	EA04Volume des précipitations totales	 Millions m3	21282.244	26983.946	21851.819	24564.328	29354.137	22021.398	25759.63	30988.884	24644.601	17326.091	24476.553	23957.951	28255.263	28922.529	34702.746	29244.332	36600.169	24007.28	21011.589	29054.794	33150.049	22219.846	35433.174	26329.762	21186.778	22250.182	25206.918	19440.536	36242.903	29564.635	32816.824	27887.336	27808.766
PROVENCE-ALPES-COTE D AZUR	93	EA04Superficie du territoire considéré pour les précipitations	 km²	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397
PROVENCE-ALPES-COTE D AZUR	93	EA04Volume des pluies efficaces	 Millions m3	6248.855	10455.074	7121.242	7868.766	11763.438	8639.367	10444.882	12479.494	8375.633	4582.589	7998.712	8873.886	9114.051	11671.834	17522.423	10427.368	18350.486	9237.111	4843.622	11734.371	15678.039	8031.971	13576.101	8769.522	6147.006	3687.061	ND	7055.291	18190.461	13423.462	15848.835	10148.248	11437.832
PROVENCE-ALPES-COTE D AZUR	93	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397	31908.397
PROVENCE-ALPES-COTE D AZUR	93	EA04Hauteur des précipitations totales	mm	667.0	846.0	685.0	770.0	920.0	690.0	807.0	971.0	772.0	543.0	767.0	751.0	886.0	906.0	1088.0	917.0	1147.0	752.0	658.0	911.0	1039.0	696.0	1110.0	825.0	664.0	697.0	790.0	609.0	1136.0	927.0	1028.0	874.0	872.0
PROVENCE-ALPES-COTE D AZUR	93	EA04Hauteur des précipitations efficaces	mm	196.0	328.0	223.0	247.0	369.0	271.0	327.0	391.0	262.0	144.0	251.0	278.0	286.0	366.0	549.0	327.0	575.0	289.0	152.0	368.0	491.0	252.0	425.0	275.0	193.0	116.0	ND	ND	570.0	421.0	497.0	318.0	358.0
RHONE-ALPES	82	EA04Volume des précipitations totales	 Millions m3	50528.627	55704.555	51070.898	50181.29	48654.768	40915.687	49475.726	54433.506	54165.59	33455.432	49785.092	42298.182	54661.352	55002.863	55655.609	55895.118	54002.153	43132.847	45761.169	59250.441	51730.446	53796.394	57765.377	44309.57	47423.453	41785.265	49727.576	51567.75	62505.321	43654.558	51496.589	45486.026	56308.697
RHONE-ALPES	82	EA04Superficie du territoire considéré pour les précipitations	 km²	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796
RHONE-ALPES	82	EA04Volume des pluies efficaces	 Millions m3	26158.641	30147.042	23898.393	27513.054	24441.612	18862.761	25024.458	27665.449	27605.961	12189.081	22626.666	18932.843	26723.591	28649.893	29402.176	30936.605	27976.456	17042.81	20457.283	32211.8	24084.347	26761.211	29283.678	11485.972	19919.868	12712.752	ND	16320.099	31508.97	17949.492	25282.376	16618.505	26467.273
RHONE-ALPES	82	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796	44983.796
RHONE-ALPES	82	EA04Hauteur des précipitations totales	mm	1123.0	1238.0	1135.0	1116.0	1082.0	910.0	1100.0	1210.0	1204.0	744.0	1107.0	940.0	1215.0	1223.0	1237.0	1243.0	1200.0	959.0	1017.0	1317.0	1150.0	1196.0	1284.0	985.0	1054.0	929.0	1105.0	1146.0	1390.0	970.0	1145.0	1011.0	1252.0
RHONE-ALPES	82	EA04Hauteur des précipitations efficaces	mm	582.0	670.0	531.0	612.0	543.0	419.0	556.0	615.0	614.0	271.0	503.0	421.0	594.0	637.0	654.0	688.0	622.0	379.0	455.0	716.0	535.0	595.0	651.0	255.0	443.0	283.0	ND	ND	700.0	399.0	562.0	369.0	588.0
Producteurs : MEDDE (CGDD/SOeS), MEDDE (DGALN), METEO FRANCE.
Source : Modélisation.
