Lieu	N° région, département	Série	Unité	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
AUVERGNE	83	EA04Hauteur des précipitations totales	mm	983.0	1126.0	957.0	954.0	977.0	704.0	970.0	930.0	1066.0	700.0	916.0	702.0	1094.0	965.0	1191.0	981.0	946.0	834.0	918.0	1032.0	979.0	1027.0	925.0	821.0	988.0	773.0	991.0	1072.0	1115.0	846.0	1012.0	781.0	903.0
AUVERGNE	83	EA04Hauteur des précipitations efficaces	mm	444.0	552.0	363.0	412.0	403.0	266.0	424.0	336.0	478.0	178.0	277.0	183.0	462.0	374.0	584.0	405.0	373.0	223.0	370.0	430.0	337.0	413.0	310.0	213.0	399.0	195.0	ND	ND	410.0	183.0	358.0	142.0	226.0
BASSE NORMANDIE	25	EA04Volume des précipitations totales	 Millions m3	16699.1	19159.757	18134.664	14290.874	16150.709	13354.622	17393.64	15253.748	16735.995	11727.841	14078.095	12597.754	16070.487	16168.553	20300.328	15954.318	11691.83	14369.381	17250.871	19112.262	20446.124	18162.363	18223.421	12816.056	14750.627	12921.869	16361.642	18235.315	17112.473	15445.544	13955.959	13322.33	18246.79
BASSE NORMANDIE	25	EA04Superficie du territoire considéré pour les précipitations	 km²	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431
BASSE NORMANDIE	25	EA04Volume des pluies efficaces	 Millions m3	6534.26	9419.695	6983.027	4780.281	6640.05	3337.36	7537.543	5035.316	6658.109	3079.35	4773.636	3333.717	5356.301	5899.579	8998.552	6522.441	2830.719	3668.413	7720.049	8382.872	9763.296	8095.654	6928.043	1465.447	4010.647	2080.553	ND	3417.788	5605.2	5493.343	5299.792	3540.144	7336.032
BASSE NORMANDIE	25	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431	17780.431
BASSE NORMANDIE	25	EA04Hauteur des précipitations totales	mm	939.0	1078.0	1020.0	804.0	908.0	751.0	978.0	858.0	941.0	660.0	792.0	709.0	904.0	909.0	1142.0	897.0	658.0	808.0	970.0	1075.0	1150.0	1021.0	1025.0	721.0	830.0	727.0	920.0	1026.0	962.0	869.0	785.0	749.0	1026.0
BASSE NORMANDIE	25	EA04Hauteur des précipitations efficaces	mm	367.0	530.0	393.0	269.0	373.0	188.0	424.0	283.0	374.0	173.0	268.0	187.0	301.0	332.0	506.0	367.0	159.0	206.0	434.0	471.0	549.0	455.0	390.0	82.0	226.0	117.0	ND	ND	315.0	309.0	298.0	199.0	413.0
BOURGOGNE	26	EA04Volume des précipitations totales	 Millions m3	26595.797	34674.396	28851.076	29150.229	29218.277	21006.915	29847.574	29188.675	31072.891	22124.578	26624.747	21154.936	26480.559	28342.973	32002.845	30324.85	25206.127	25365.015	27092.286	32431.083	29956.649	33058.168	26742.726	21514.045	28134.62	21421.936	27984.964	28978.957	30737.064	25492.418	28124.475	24844.72	30568.896
BOURGOGNE	26	EA04Superficie du territoire considéré pour les précipitations	 km²	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106
BOURGOGNE	26	EA04Volume des pluies efficaces	 Millions m3	8838.262	15195.27	9965.225	11730.104	10268.953	5612.569	11278.246	9660.251	11872.847	5306.344	7209.266	5341.555	7004.346	9629.833	11461.494	11207.524	8722.896	4898.299	10312.318	12194.33	8321.013	12392.545	8066.553	3499.279	8442.741	4151.594	ND	5976.371	9071.952	5421.86	8639.857	5639.644	9507.4
BOURGOGNE	26	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106	31750.106
BOURGOGNE	26	EA04Hauteur des précipitations totales	mm	838.0	1092.0	909.0	918.0	920.0	662.0	940.0	919.0	979.0	697.0	839.0	666.0	834.0	893.0	1008.0	955.0	794.0	799.0	853.0	1021.0	944.0	1041.0	842.0	678.0	886.0	675.0	881.0	913.0	968.0	803.0	886.0	783.0	963.0
BOURGOGNE	26	EA04Hauteur des précipitations efficaces	mm	278.0	479.0	314.0	369.0	323.0	177.0	355.0	304.0	374.0	167.0	227.0	168.0	221.0	303.0	361.0	353.0	275.0	154.0	325.0	384.0	262.0	390.0	254.0	110.0	266.0	131.0	ND	ND	286.0	171.0	272.0	178.0	299.0
BRETAGNE	53	EA04Volume des précipitations totales	 Millions m3	24156.421	28622.197	30798.498	22897.953	27686.706	21274.235	29562.954	23833.377	25768.417	18615.658	23393.752	22308.493	23622.667	25744.782	30875.93	28815.741	21014.277	22383.698	28334.038	30928.795	32167.548	29141.41	28774.426	21525.737	25540.948	20627.645	26029.937	26718.063	29023.471	28490.757	23898.728	20111.57	28545.514
