Lieu	N° région, département	Série	Unité	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
BOURGOGNE	26	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	960.0	1040.0	1018.0	1108.0	1256.0	1330.0	1342.0	1426.0	1487.0	1501.0	1463.0	1481.0	1495.0	1436.0	1530.0	1573.0	1642.0	1734.0	1881.0	2028.0	2217.0	2443.0	2498.0	2630.0
BRETAGNE	53	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	1360.0	1417.0	1219.0	913.0	800.0	929.0	902.0	624.0	554.0	556.0	382.0	438.0	559.0	688.0	620.0	583.0	462.0	585.0	797.0	901.0	1244.0	861.0	792.0	631.0
BRETAGNE	53	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	72600.0	70900.0	70000.0	72400.0	76500.0	84600.0	94200.0	92700.0	98000.0	94800.0	91881.0	113115.0	113457.0	127093.0	119976.0	135870.0	146844.0	149529.0	157025.0	166932.0	175605.0	189493.0	199456.0	200381.0
BRETAGNE	53	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	1547.0	2333.0	2975.0	3212.0	3373.0	3546.0	3787.0	3505.0	3510.0	4281.0	2674.0	3244.0	3279.0	3533.0	3803.0	2339.0	2820.0	3411.0	5384.0	5942.0	6813.0	7468.0	6645.0	4425.0
BRETAGNE	53	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1084.0	1128.0	1230.0	1309.0	1355.0	1423.0	1468.0	1491.0	1539.0	1594.0	1601.0	1512.0	1531.0	1569.0	1646.0	1696.0	1753.0	1859.0	1985.0	2121.0	2283.0	2460.0	2739.0	2775.0
CENTRE	24	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	1018.0	833.0	748.0	685.0	562.0	410.0	346.0	321.0	321.0	370.0	206.0	291.0	353.0	544.0	590.0	497.0	415.0	460.0	624.0	865.0	669.0	1021.0	837.0	330.0
CENTRE	24	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	76100.0	76800.0	79900.0	83500.0	89300.0	101100.0	107800.0	116300.0	122300.0	113900.0	119297.0	114274.0	122272.0	122149.0	128826.0	126750.0	138279.0	148430.0	148219.0	164223.0	183561.0	194067.0	199311.0	193056.0
CENTRE	24	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	513.0	518.0	835.0	979.0	1249.0	1633.0	1772.0	1552.0	1995.0	2047.0	1693.0	1985.0	2108.0	1951.0	1817.0	1268.0	1550.0	1554.0	2067.0	2330.0	2290.0	2789.0	2948.0	1513.0
CENTRE	24	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	943.0	988.0	1024.0	1211.0	1305.0	1416.0	1549.0	1552.0	1546.0	1562.0	1542.0	1573.0	1578.0	1598.0	1628.0	1680.0	1732.0	1840.0	2025.0	2107.0	2346.0	2466.0	2666.0	2807.0
CHAMPAGNE-ARDENNE	21	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	293.0	262.0	171.0	93.0	86.0	55.0	176.0	74.0	14.0	21.0	46.0	34.0	41.0	21.0	92.0	63.0	73.0	78.0	87.0	67.0	141.0	87.0	44.0	60.0
CHAMPAGNE-ARDENNE	21	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	77700.0	75600.0	83700.0	83800.0	97700.0	106400.0	103700.0	110800.0	94100.0	117200.0	103310.0	118654.0	111916.0	126721.0	148580.0	169685.0	175558.0	136868.0	153006.0	206565.0	158034.0	ND	ND	ND
CHAMPAGNE-ARDENNE	21	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	262.0	224.0	226.0	182.0	232.0	142.0	629.0	574.0	610.0	494.0	445.0	685.0	546.0	629.0	586.0	225.0	296.0	315.0	398.0	445.0	548.0	686.0	640.0	632.0
CHAMPAGNE-ARDENNE	21	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	867.0	944.0	977.0	1190.0	1121.0	1198.0	1532.0	1571.0	1541.0	1680.0	1511.0	1629.0	1598.0	1578.0	1576.0	1585.0	1536.0	1619.0	1771.0	1940.0	2172.0	2228.0	2514.0	2788.0
