Lieu	N° région, département	Série	Unité	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
PICARDIE	22	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	247.0	170.0	67.0	59.0	59.0	97.0	50.0	44.0	35.0	30.0	28.0	73.0	280.0	133.0	141.0	95.0	120.0	24.0	195.0	127.0	1002.0	296.0	683.0	308.0
PICARDIE	22	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	76500.0	76500.0	76800.0	84300.0	87200.0	86400.0	127900.0	107000.0	86600.0	74900.0	81995.0	76784.0	103975.0	129198.0	148536.0	130912.0	127695.0	105896.0	167429.0	150088.0	210499.0	ND	211763.0	229298.0
PICARDIE	22	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	108.0	134.0	123.0	107.0	183.0	292.0	418.0	538.0	492.0	594.0	495.0	514.0	553.0	597.0	783.0	205.0	337.0	408.0	681.0	619.0	519.0	876.0	1330.0	960.0
PICARDIE	22	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1024.0	1158.0	1169.0	1265.0	1282.0	1342.0	1595.0	1655.0	1520.0	1641.0	1606.0	1532.0	1651.0	1651.0	1747.0	1785.0	1768.0	1828.0	1928.0	1926.0	2248.0	2433.0	2849.0	2818.0
POITOU-CHARENTES	54	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	431.0	411.0	304.0	259.0	467.0	448.0	676.0	435.0	421.0	241.0	203.0	339.0	367.0	490.0	454.0	325.0	506.0	453.0	483.0	1288.0	1147.0	805.0	541.0	382.0
POITOU-CHARENTES	54	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	67700.0	50500.0	51400.0	59500.0	74400.0	90700.0	89200.0	76400.0	75500.0	89500.0	79562.0	81406.0	98221.0	107596.0	114471.0	114593.0	112468.0	120080.0	144292.0	135987.0	158221.0	180373.0	184657.0	204128.0
POITOU-CHARENTES	54	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	487.0	418.0	769.0	935.0	1198.0	1494.0	1502.0	1356.0	1778.0	2176.0	1299.0	1226.0	1120.0	1282.0	889.0	630.0	900.0	1281.0	1615.0	1730.0	2132.0	1789.0	1172.0	935.0
POITOU-CHARENTES	54	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1121.0	1321.0	1351.0	1408.0	1492.0	1408.0	1337.0	1399.0	1486.0	1573.0	1626.0	1655.0	1676.0	1701.0	1701.0	1728.0	1789.0	2113.0	2019.0	2181.0	2367.0	2520.0	2889.0	2996.0
PROVENCE-ALPES-COTE D AZUR	93	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	2310.0	1896.0	1703.0	2574.0	2941.0	2379.0	1615.0	1438.0	1295.0	1030.0	1071.0	1044.0	1415.0	1590.0	1803.0	2163.0	1678.0	1504.0	1191.0	1157.0	1517.0	1538.0	1832.0	1004.0
PROVENCE-ALPES-COTE D AZUR	93	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	86300.0	91600.0	101400.0	107900.0	103100.0	118300.0	136700.0	137100.0	145000.0	143100.0	146507.0	158125.0	153957.0	168045.0	167744.0	173483.0	205453.0	228487.0	295845.0	298956.0	295102.0	297792.0	304166.0	298430.0
PROVENCE-ALPES-COTE D AZUR	93	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	10568.0	10047.0	10386.0	12023.0	14104.0	11668.0	9789.0	9648.0	7671.0	7560.0	6556.0	7869.0	8853.0	9642.0	10272.0	8181.0	8857.0	8844.0	9925.0	9421.0	11013.0	13339.0	13607.0	9315.0
PROVENCE-ALPES-COTE D AZUR	93	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1437.0	1487.0	1597.0	1772.0	1969.0	2117.0	2293.0	2347.0	2387.0	2380.0	2292.0	2277.0	2283.0	2305.0	2185.0	2148.0	2345.0	2578.0	2805.0	3191.0	3565.0	3733.0	3979.0	3927.0
RHONE-ALPES	82	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	2028.0	2007.0	1717.0	1868.0	1288.0	1160.0	763.0	592.0	546.0	651.0	499.0	495.0	664.0	931.0	1319.0	884.0	1194.0	1476.0	1640.0	1871.0	1701.0	1550.0	1579.0	1071.0
RHONE-ALPES	82	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	85400.0	87000.0	93900.0	97300.0	106400.0	123800.0	129000.0	138000.0	140400.0	130200.0	145172.0	135149.0	138331.0	137464.0	150720.0	154567.0	162617.0	195517.0	211277.0	222984.0	241076.0	287367.0	282221.0	297792.0
RHONE-ALPES	82	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	8309.0	9860.0	11933.0	12456.0	13232.0	13394.0	10385.0	8015.0	8701.0	8839.0	6943.0	8044.0	9889.0	11407.0	12414.0	9503.0	9930.0	11675.0	15015.0	15088.0	15445.0	16077.0	16776.0	11137.0
RHONE-ALPES	82	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1243.0	1298.0	1382.0	1430.0	1472.0	1575.0	1675.0	1687.0	1687.0	1699.0	1631.0	1617.0	1630.0	1687.0	1735.0	1780.0	1859.0	2010.0	2249.0	2579.0	2873.0	3110.0	3440.0	3347.0
Producteur : MEDDE (CGDD/SOeS).
Source : Enquête Commercialisation des Logements Neufs.
