Lieu	N° région, département	Série	Unité	2004	2008
ARDECHE	07	RA08Amont du cycle du combustible	nombre	0.0	0.0
ARDECHE	07	RA08Aval du cycle du combustible	nombre	0.0	0.0
ARDECHE	07	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ARDECHE	07	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
ARDECHE	07	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
ARDECHE	07	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	1.0	1.0
ARDENNES	08	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
ARDENNES	08	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
ARDENNES	08	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
ARDENNES	08	RA08Centres nucléaires de production d'électricité	nombre	2.0	2.0
ARDENNES	08	RA08Activités médicales	nombre	1.0	1.0
ARDENNES	08	RA08Etablissements de la défense nationale	nombre	0.0	0.0
ARDENNES	08	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
ARDENNES	08	RA08Amont du cycle du combustible	nombre	0.0	0.0
ARDENNES	08	RA08Aval du cycle du combustible	nombre	0.0	0.0
ARDENNES	08	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ARDENNES	08	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
ARDENNES	08	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
ARDENNES	08	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	3.0	3.0
ARIEGE	09	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
ARIEGE	09	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
ARIEGE	09	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
ARIEGE	09	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
ARIEGE	09	RA08Activités médicales	nombre	0.0	0.0
ARIEGE	09	RA08Etablissements de la défense nationale	nombre	0.0	0.0
ARIEGE	09	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
ARIEGE	09	RA08Amont du cycle du combustible	nombre	0.0	0.0
ARIEGE	09	RA08Aval du cycle du combustible	nombre	0.0	0.0
ARIEGE	09	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ARIEGE	09	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
ARIEGE	09	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
ARIEGE	09	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	0.0	0.0
AUBE	10	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AUBE	10	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
AUBE	10	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
AUBE	10	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
AUBE	10	RA08Activités médicales	nombre	0.0	1.0
AUBE	10	RA08Etablissements de la défense nationale	nombre	0.0	0.0
AUBE	10	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
AUBE	10	RA08Amont du cycle du combustible	nombre	0.0	0.0
AUBE	10	RA08Aval du cycle du combustible	nombre	0.0	0.0
AUBE	10	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
AUBE	10	RA08Sites d'entreposage et stockage	nombre	2.0	2.0
AUBE	10	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
AUBE	10	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	3.0	4.0
AUDE	11	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AUDE	11	RA08Etablissements de recherche (hors CEA)	nombre	1.0	0.0
AUDE	11	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
AUDE	11	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
AUDE	11	RA08Activités médicales	nombre	1.0	0.0
AUDE	11	RA08Etablissements de la défense nationale	nombre	1.0	0.0
AUDE	11	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
AUDE	11	RA08Amont du cycle du combustible	nombre	2.0	2.0
AUDE	11	RA08Aval du cycle du combustible	nombre	0.0	0.0
AUDE	11	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
